 

stn;time;hti000mx;hns000mx;hto000mx;hto000m0
SLF5OB;200508;-;-;-;-
SLF5OB;200509;-;-;-;-
SLF5OB;200510;20051002;3;3;0
SLF5OB;200511;20051121;3;5;1
SLF5OB;200512;-;-;-;-
SLF5OB;200601;20060117;21;72;46
SLF5OB;200602;-;-;-;-
SLF5OB;200603;20060308;22;110;81
SLF5OB;200604;20060410;12;40;17
SLF5OB;200605;20060530;5;5;0
SLF5OB;200606;-;-;-;-
SLF5OB;200607;-;-;-;-
SLF5OB;200608;-;-;-;-
SLF5OB;200609;-;-;-;-
SLF5OB;200610;-;0;0;0
SLF5OB;200611;-;-;4;0
SLF5OB;200612;20061206;28;30;10
SLF5OB;200701;-;-;40;17

stn;time;hti000mx;hns000mx;hto000mx;hto000m0
SCU;199701;19970120;4;40;32
SCU;199702;19970218;18;58;38
SCU;199703;19970329;9;40;12
SCU;199704;-;0;0;0
SCU;199705;19970507;6;8;0
SCU;199706;-;0;0;0
SCU;199707;-;0;0;0
SCU;199708;-;0;0;0
SCU;199709;-;0;0;0
SCU;199710;-;0;0;0
SCU;199711;19971120;5;5;0
SCU;199712;19971212;20;20;8
SCU;199801;19980116;15;39;28
SCU;199802;19980222;4;33;15
SCU;199803;19980320;6;6;1
SCU;199804;19980405;4;4;0
SCU;199805;-;0;0;0
SCU;199806;-;0;0;0
SCU;199807;-;0;0;0
SCU;199808;-;0;0;0
SCU;199809;-;0;0;0
SCU;199810;-;0;0;0
SCU;199811;19981115;8;9;2
SCU;199812;19981205;7;14;8
SCU;199901;19990128;40;75;19
SCU;199902;19990206;34;116;80
SCU;199903;19990305;14;78;49
SCU;199904;19990416;23;35;4
SCU;199905;-;0;0;0
SCU;199906;-;0;0;0
SCU;199907;-;0;0;0
SCU;199908;-;0;0;0
SCU;199909;-;0;0;0
SCU;199910;-;0;0;0
SCU;199911;19991106;7;10;3
SCU;199912;19991226;30;60;17
SCU;200001;20000123;4;58;39
SCU;200002;20000218;26;80;44
SCU;200003;20000326;18;43;16
SCU;200004;20000417;2;4;0
SCU;200005;-;0;0;0
SCU;200006;-;0;0;0
SCU;200007;-;0;0;0
SCU;200008;-;0;0;0
SCU;200009;-;0;0;0
SCU;200010;20001031;7;0;0
SCU;200011;20001120;20;27;7
SCU;200012;20001229;6;15;6
SCU;200101;20010107;25;45;31
SCU;200102;20010222;25;60;42
SCU;200103;20010329;10;51;19
SCU;200104;20010419;6;6;1
SCU;200105;-;0;0;0
SCU;200106;20010603;5;5;0
SCU;200107;-;0;0;0
SCU;200108;-;0;0;0
SCU;200109;-;0;0;0
SCU;200110;-;0;0;0
SCU;200111;20011129;13;22;3
SCU;200112;20011229;1;20;1
SCU;200201;-;0;1;0
SCU;200202;20020206;16;16;4
