 

stn;time;hti000mx;hto000mx;hns000mx;hto000m0
SVG;201007;-;0;0;0
SVG;201008;-;0;-;-
SVG;201009;-;0;0;0
SVG;201010;-;0;-;-
SVG;201011;20101107;20;-;-
SVG;201012;20101201;12;33;11
SVG;201101;20110120;1;14;1
SVG;201102;20110220;8;9;1
SVG;201103;-;0;0;0
SVG;201104;-;0;0;0
SVG;201105;-;0;0;0
SVG;201106;-;-;-;-
SVG;201107;-;-;-;-
SVG;201108;-;-;-;-
SVG;201109;-;-;-;-
SVG;201110;-;-;-;-
SVG;201111;-;0;0;0
SVG;201112;20111222;34;56;17
SVG;201201;20120120;30;104;79
SVG;201202;20120215;6;101;89
SVG;201203;20120318;20;-;-
SVG;201204;20120411;3;-;-
SVG;201205;-;0;0;0
SVG;201206;-;0;0;0
SVG;201207;-;0;0;0
SVG;201208;-;0;0;0
SVG;201209;-;0;0;0
SVG;201210;20121015;11;-;1
SVG;201211;20121128;8;-;-
SVG;201212;20121222;15;-;15
SVG;201301;20130121;14;24;16

stn;time;hti000yx;hns000y0;hto000y0
SVG;2010;20101107;170;-
SVG;2011;-;-;-
SVG;2012;20120120;237;-
SVG;2013;20130419;-;7

stn;time;hti000mx;hns000mx;hto000mx;hto000m0
SCU;200701;20070102;13;17;10
SCU;200702;20070213;8;20;10
SCU;200703;20070302;5;7;1
SCU;200704;-;0;0;0
SCU;200705;-;0;0;0
SCU;200706;-;0;0;0
SCU;200707;-;0;0;0
SCU;200708;-;0;0;0
SCU;200709;-;0;0;0
SCU;200710;-;0;0;0
SCU;200711;20071110;23;33;16
SCU;200712;20071204;15;43;34
SCU;200801;20080112;15;57;46
SCU;200802;20080206;10;53;39
SCU;200803;20080311;13;18;1
SCU;200804;20080406;15;15;2
SCU;200805;-;0;0;0
SCU;200806;-;0;0;0
SCU;200807;-;0;0;0
SCU;200808;-;0;0;0
SCU;200809;-;0;0;0
SCU;200810;-;0;0;0
SCU;200811;20081130;10;23;4
SCU;200812;20081201;15;57;45
SCU;200901;20090120;38;97;62
SCU;200902;20090217;10;89;80
SCU;200903;20090310;15;78;57
SCU;200904;20090428;2;40;6
SCU;200905;-;0;0;0
SCU;200906;-;0;0;0
SCU;200907;-;0;0;0
SCU;200908;-;0;0;0
SCU;200909;-;0;0;0
SCU;200910;20091016;5;5;0
SCU;200911;20091130;10;4;0
SCU;200912;20091222;22;38;20
SCU;201001;20100121;3;39;37
SCU;201002;20100205;10;45;36
SCU;201003;20100326;5;26;12
SCU;201004;20100401;3;3;0
SCU;201005;-;0;0;0
SCU;201006;-;0;0;0
SCU;201007;-;0;0;0
SCU;201008;-;0;0;0
SCU;201009;-;0;0;0
SCU;201010;20101024;5;8;1
SCU;201011;20101116;11;14;4
SCU;201012;20101210;7;22;16
SCU;201101;20110112;4;13;8
SCU;201102;20110226;2;2;1
SCU;201103;-;0;0;0
SCU;201104;-;0;0;0
SCU;201105;-;0;0;0
SCU;201106;-;0;0;0
SCU;201107;-;0;0;0
SCU;201108;-;0;0;0
SCU;201109;20110918;5;5;0
SCU;201110;20111008;35;35;1
SCU;201111;-;0;0;0
SCU;201112;20111231;24;60;25
SCU;201201;20120120;40;112;88
SCU;201202;20120215;6;83;68
SCU;201203;20120318;16;43;13
SCU;201204;20120411;7;7;0
SCU;201205;-;0;0;0
SCU;201206;-;0;0;0
SCU;201207;-;0;0;0
SCU;201208;-;0;0;0
SCU;201209;-;0;0;0
SCU;201210;20121028;10;10;0
SCU;201211;20121128;8;8;0
SCU;201212;20121222;21;64;36
SCU;201301;20130115;8;50;40

stn;time;hti000yx;hns000y0;hto000y0
SCU;2007;20071110;158;6
SCU;2008;20081201;231;11
SCU;2009;20090120;226;19
SCU;2010;20101116;139;9
SCU;2011;20111008;163;3
SCU;2012;20120120;313;17
SCU;2013;20131010;155;8

stn;time;hti000mx;hns000mx;hto000mx;hto000m0
SLF7SU;200701;20070102;10;17;10
SLF7SU;200702;20070227;14;20;9
SLF7SU;200703;20070302;2;14;2
SLF7SU;200704;-;0;0;0
SLF7SU;200705;-;0;0;0
SLF7SU;200706;-;-;-;-
SLF7SU;200707;-;-;-;-
SLF7SU;200708;-;-;-;-
SLF7SU;200709;-;-;-;-
SLF7SU;200710;-;0;0;0
SLF7SU;200711;20071110;40;50;16
SLF7SU;200712;20071204;16;43;33
SLF7SU;200801;20080112;15;55;45
SLF7SU;200802;20080206;8;50;41
SLF7SU;200803;20080311;9;15;5
SLF7SU;200804;20080406;15;15;1
SLF7SU;200805;-;0;0;0
SLF7SU;200806;-;-;-;-
SLF7SU;200807;-;-;-;-
SLF7SU;200808;-;-;-;-
SLF7SU;200809;-;-;-;-
SLF7SU;200810;20081030;3;3;0
SLF7SU;200811;20081130;10;23;4
SLF7SU;200812;20081219;18;70;48
SLF7SU;200901;20090120;23;84;58
SLF7SU;200902;20090206;17;94;81
SLF7SU;200903;20090325;13;76;61
SLF7SU;200904;20090428;6;42;6
SLF7SU;200905;-;0;0;0
SLF7SU;200906;-;-;-;-
SLF7SU;200907;-;-;-;-
SLF7SU;200908;-;-;-;-
SLF7SU;200909;-;-;-;-
SLF7SU;200910;20091016;5;5;0
SLF7SU;200911;20091130;16;4;0
SLF7SU;200912;20091222;25;44;22
SLF7SU;201001;20100107;5;40;37
SLF7SU;201002;20100206;8;40;31
SLF7SU;201003;20100305;13;35;19
SLF7SU;201004;20100404;7;7;0
