 

stn;time;hto000mx;hto000m0
SLF7SU;201907;-;-;-;-
SLF7SU;201908;-;-;-;-
SLF7SU;201909;-;-;-;-
SLF7SU;201910;-;0;0;0
SLF7SU;201911;20191117;17;40;13
SLF7SU;201912;20191224;20;50;21
SLF7SU;202001;20200128;14;32;15
SLF7SU;202002;20200204;16;26;12
SLF7SU;202003;20200302;10;10;2
SLF7SU;202004;-;0;0;0
SLF7SU;202005;-;0;0;0
SLF7SU;202006;-;-;-;-
SLF7SU;202007;-;-;-;-
SLF7SU;202008;-;-;-;-
SLF7SU;202009;-;-;-;-
SLF7SU;202010;-;-;-;-
SLF7SU;202011;-;-;-;-
SLF7SU;202012;-;-;-;-
SLF7SU;202101;20210113;40;106;60
SLF7SU;202102;20210207;8;83;69
SLF7SU;202103;20210315;9;51;28
SLF7SU;202104;-;-;-;1

stn;time;hti000mx;hns000mx;hto000mx;hto000m0
SED;201801;20180103;35;150;90
SED;201802;20180215;10;100;96
SED;201803;20180330;47;105;82
SED;201804;20180411;5;98;28
SED;201805;-;0;0;0
SED;201806;-;0;0;0
SED;201807;-;0;0;0
SED;201808;-;0;0;0
SED;201809;-;0;0;0
SED;201810;20181027;65;65;6
SED;201811;20181126;4;25;3
SED;201812;20181209;26;50;21
SED;201901;20190113;25;95;61
SED;201902;20190210;17;78;63
SED;201903;20190314;35;67;28
SED;201904;20190404;48;80;8
SED;201905;20190504;2;2;0
SED;201906;-;0;0;0
SED;201907;-;0;0;0
SED;201908;-;0;0;0
SED;201909;20190905;2;2;0
SED;201910;-;0;0;0
SED;201911;20191114;29;68;20
SED;201912;20191209;29;50;26
SED;202001;20200128;22;68;33
SED;202002;20200204;26;57;42
SED;202003;20200302;5;47;21
SED;202004;-;0;0;0
SED;202005;-;0;0;0
SED;202006;-;0;0;0
SED;202007;-;0;0;0
SED;202008;-;0;0;0
SED;202009;20200925;18;18;1
SED;202010;20201026;14;14;1
SED;202011;20201119;8;8;0
SED;202012;20201205;54;105;53
SED;202101;20210127;64;168;94
SED;202102;20210210;10;127;98
SED;202103;20210314;31;110;63
SED;202104;-;-;-;9

stn;time;hti000yx;hns000y0;hto000y0
SED;2018;20181027;470;27
SED;2019;20190404;574;17
SED;2020;20201205;365;13

stn;time;hti000mx;hns000mx;hto000mx;hto000m0
SLF5SE;201801;20180103;40;155;91
SLF5SE;201802;20180215;13;109;99
SLF5SE;201803;20180330;50;110;79
SLF5SE;201804;20180412;1;107;37
SLF5SE;201805;-;0;0;0
SLF5SE;201806;-;-;-;-
SLF5SE;201807;-;-;-;-
SLF5SE;201808;-;-;-;-
